,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['500',4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['600',4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['700',4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['800',4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,
['900',4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,
Drops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01818181818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,2,12,5,4,3,8,4,5,16,4,4,2,9,4,3,4,4,4,4,4,4,10,4,13,4,8,4,3,8,4,4,3,4,4,5,5,4,4,4,4,3,3,4,4,4,3,2,3,4,4,4,4,
['500',3,3,3,2,11,5,4,3,8,4,5,17,4,4,2,9,4,3,4,4,4,4,4,4,9,4,13,4,8,4,3,8,4,4,3,4,4,5,5,4,4,4,4,3,3,4,4,3,3,3,3,4,4,4,4,
['600',3,3,3,2,10,5,4,3,8,5,5,17,4,4,2,9,4,3,4,4,4,4,4,4,8,4,13,4,8,4,3,8,4,4,3,4,4,5,5,4,3,4,4,3,3,4,4,3,3,1,2,4,4,4,4,
['700',3,3,3,2,11,5,4,3,8,5,5,17,4,4,2,9,4,3,4,4,4,4,4,4,8,4,12,4,8,4,3,8,4,3,3,4,4,5,5,4,3,4,4,3,3,4,4,3,3,1,2,4,4,4,4,
['800',3,3,3,2,11,5,4,4,8,5,5,16,4,4,2,9,4,3,4,4,4,4,4,4,8,4,12,4,8,4,3,8,4,3,3,4,4,5,5,4,3,4,4,2,3,4,4,3,3,1,2,4,4,4,4,
['900',2,2,3,2,11,5,4,4,8,5,5,16,4,4,2,8,4,3,4,4,4,4,4,4,8,4,13,4,8,4,3,8,4,3,3,4,4,5,5,4,3,4,4,2,3,4,4,3,3,1,2,4,4,4,4,
Drops,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0.3090909091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
